2020-02-29 00:36:52,192 INFO [root] [base.py (__init__:11] - 正在初始化driver对象，driver：<appium.webdriver.webdriver.WebDriver (session="0b4abb34-669b-4a6b-bbbd-65221fb0c2e7")>
2020-02-29 00:36:52,193 INFO [root] [base.py (base_click_ele:22] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/bt_no')元素进行点击操作
2020-02-29 00:36:52,193 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/bt_no')元素
2020-02-29 00:36:55,203 INFO [root] [base.py (base_click_ele:25] - ('id', 'com.bjcsxq.chat.carfriend:id/bt_no')元素点击完成
2020-02-29 00:36:55,204 INFO [root] [base.py (base_click_ele:22] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/mine_layout')元素进行点击操作
2020-02-29 00:36:55,208 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/mine_layout')元素
2020-02-29 00:36:57,284 INFO [root] [base.py (base_click_ele:25] - ('id', 'com.bjcsxq.chat.carfriend:id/mine_layout')元素点击完成
2020-02-29 00:36:57,284 INFO [root] [base.py (base_click_ele:22] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/mine_username_tv')元素进行点击操作
2020-02-29 00:36:57,285 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/mine_username_tv')元素
2020-02-29 00:37:00,602 INFO [root] [base.py (base_click_ele:25] - ('id', 'com.bjcsxq.chat.carfriend:id/mine_username_tv')元素点击完成
2020-02-29 00:37:00,608 INFO [root] [page_login.py (page_login:30] - 正在调用登录业务方法，账号为123，密码为：
2020-02-29 00:37:00,608 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素
2020-02-29 00:37:01,050 INFO [root] [base.py (base_input_ele:32] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素进清空击操作
2020-02-29 00:37:05,297 INFO [root] [base.py (base_input_ele:35] - 正在对:('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素进输入操作，输入内容为:value
2020-02-29 00:37:11,949 INFO [root] [base.py (base_input_ele:37] - ('id', 'com.bjcsxq.chat.carfriend:id/login_phone_et')元素输入操作完成
2020-02-29 00:37:11,950 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素
2020-02-29 00:37:12,521 INFO [root] [base.py (base_input_ele:32] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素进清空击操作
2020-02-29 00:37:17,667 INFO [root] [base.py (base_input_ele:35] - 正在对:('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素进输入操作，输入内容为:value
2020-02-29 00:37:22,360 INFO [root] [base.py (base_input_ele:37] - ('id', 'com.bjcsxq.chat.carfriend:id/login_pwd_et')元素输入操作完成
2020-02-29 00:37:22,360 INFO [root] [base.py (base_click_ele:22] - 正在对('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素进行点击操作
2020-02-29 00:37:22,361 INFO [root] [base.py (base_find_ele:15] - 正在查找:('id', 'com.bjcsxq.chat.carfriend:id/login_btn')元素
